district,neighborhood,room,living_room,area,age,floor,price
 Büyükçekmece , Çakmaklı Mah.,3,1,172,22,9,25000
 Sarıyer , Yeniköy Mah.,2,1,150,38,5,85000
 Kağıthane , Seyrantepe Mah.,2,1,90,15,1,18000
 Şişli , Harbiye Mah.,2,1,320,16,19,600000
 Beylikdüzü , Barış Mah.,3,1,140,25,7,25000
 Üsküdar , Murat Reis Mah.,2,1,103,40,4,27000
 Küçükçekmece , Yeşilova Mah.,3,1,150,25,3,20950
 Esenler , Nine Hatun Mah.,3,1,110,30,7,14000
 Sarıyer , Zekeriyaköy Mah.,5,1,400,11,2,250000
 Beşiktaş , Levent Mah.,3,1,365,5,21,250000
 Beşiktaş , Levent Mah.,4,1,220,11,11,175000
 Beşiktaş , Levent Mah.,2,1,300,5,21,200000
 Kağıthane , Emniyet Evleri Mah.,1,1,120,5,21,80000
 Beşiktaş , Levent Mah.,3,1,400,5,14,220000
 Kağıthane , Emniyet Evleri Mah.,3,1,270,5,15,170000
 Sarıyer , Ferahevler Mah.,3,1,250,0,5,200000
 Beşiktaş , Levent Mah.,2,1,250,5,15,200000
 Kağıthane , Emniyet Evleri Mah.,1,1,150,5,12,75000
 Beşiktaş , Levent Mah.,1,1,120,5,11,90000
 Ataşehir , Kayışdağı Mah.,1,1,50,11,1,22500
 Kağıthane , Emniyet Evleri Mah.,1,1,125,11,10,80000
 Beşiktaş , Gayrettepe Mah.,1,1,73,16,3,37500
 Beşiktaş , Gayrettepe Mah.,2,1,90,5,1,45000
 Kağıthane , Emniyet Evleri Mah.,1,1,120,5,21,85000
 Sarıyer , Emirgan Mah.,2,1,235,25,5,230000
 Beşiktaş , Muradiye Mah.,6,1,320,50,7,85000
 Sarıyer , Zekeriyaköy Mah.,3,1,116,28,2,45000
 Kağıthane , Ortabayır Mah.,2,1,100,30,5,25000
 Beyoğlu , Pürtelaş Hasan Efendi Mah.,3,1,135,55,2,62500
 Sarıyer , Kumköy Mah.,4,1,400,11,2,170000
 Bayrampaşa , Kartaltepe Mah.,2,1,98,4,3,22000
 Avcılar , Denizköşkler Mah.,1,1,90,40,1,1500
 Şişli , 19 Mayıs Mah.,2,1,80,24,1,25000
 Bahçelievler , Zafer Mah.,3,1,140,27,3,20000
 Şişli , 19 Mayıs Mah.,1,1,134,16,21,70000
 Üsküdar , Mimar Sinan Mah.,1,1,70,31,3,32500
 Bakırköy , Şenlikköy Mah.,5,1,280,8,3,200000
 Kağıthane , Çeliktepe Mah.,2,1,75,1,10,42000
 Kağıthane , Çeliktepe Mah.,2,1,100,1,3,46000
 Zeytinburnu , Kazlıçeşme Mah.,3,1,159,3,3,120000
 Beşiktaş , Levent Mah.,3,1,400,5,13,185000
 Kağıthane , Emniyet Evleri Mah.,1,1,150,5,10,75000
 Beşiktaş , Levent Mah.,1,1,122,11,21,90000
 Şişli , Merkez Mah.,1,1,100,4,3,60000
 Beşiktaş , Cihannüma Mah.,2,1,100,33,0,29000
 Beşiktaş , Dikilitaş Mah.,2,1,105,0,3,60000
 Eyüpsultan , Çırçır Mah.,3,1,135,0,2,36500
 Kağıthane , Gürsel Mah.,2,1,70,6,3,21000
 Üsküdar , Zeynep Kamil Mah.,2,1,75,31,3,24000
 Eyüpsultan , Düğmeciler Mah.,2,1,95,25,1,25000
 Şişli , Gülbahar Mah.,3,1,140,5,4,25000
 Beşiktaş , Levazım Mah.,1,4,350,3,2,480000
 Beşiktaş , Levent Mah.,2,1,220,5,21,170000
 Küçükçekmece , Atakent Mah.,2,1,75,16,1,21000
 Başakşehir , Bahçeşehir 2. Kısım Mah.,3,1,170,16,1,40000
 Sarıyer , Kumköy Mah.,4,1,240,10,2,85000
 Kağıthane , Yahya Kemal Mah.,1,1,65,3,0,18000
 Beşiktaş , Ulus Mah.,5,2,300,35,4,190000
 Sarıyer , Tarabya Mah.,4,1,220,30,2,210000
 Beylikdüzü , Adnan Kahveci Mah.,4,1,190,5,2,40000
 Şişli , Harbiye Mah.,2,1,500,11,21,500000
 Beşiktaş , Levent Mah.,1,1,145,5,21,75000
 Kağıthane , Emniyet Evleri Mah.,4,1,449,15,19,250000
 Beşiktaş , Levent Mah.,2,1,225,5,21,165000
 Beşiktaş , Levent Mah.,2,1,265,5,11,120000
 Kağıthane , Emniyet Evleri Mah.,1,1,122,11,15,85000
 Kağıthane , Gültepe Mah.,2,1,85,26,2,17000
 Kağıthane , Emniyet Evleri Mah.,2,1,110,24,2,24000
 Beykoz , Çiftlik Mah.,4,1,225,0,2,100000
 Bakırköy , Kartaltepe Mah.,2,1,70,3,0,36000
 Beylikdüzü , Büyükşehir Mah.,3,1,110,25,3,27500
 Şişli , 19 Mayıs Mah.,2,1,171,24,5,103000
 Silivri , Selimpaşa Mah.,3,1,105,25,2,19000
