district,neighborhood,room,living_room,area,age,floor,price
 Sarıyer , Yeniköy Mah.,2,1,150,38,5,85000
 Kağıthane , Seyrantepe Mah.,2,1,90,15,1,18000
 Beylikdüzü , Barış Mah.,3,1,140,25,7,25000
 Üsküdar , Murat Reis Mah.,2,1,103,40,4,27000
 Küçükçekmece , Yeşilova Mah.,3,1,150,25,3,20950
 Esenler , Nine Hatun Mah.,3,1,110,30,7,14000
 Ataşehir , Kayışdağı Mah.,1,1,50,11,1,22500
 Beşiktaş , Gayrettepe Mah.,1,1,73,16,3,37500
 Beşiktaş , Gayrettepe Mah.,2,1,90,5,1,45000
 Sarıyer , Zekeriyaköy Mah.,3,1,116,28,2,45000
 Kağıthane , Ortabayır Mah.,2,1,100,30,5,25000
 Beyoğlu , Pürtelaş Hasan Efendi Mah.,3,1,135,55,2,62500
 Bayrampaşa , Kartaltepe Mah.,2,1,98,4,3,22000
 Şişli , 19 Mayıs Mah.,2,1,80,24,1,25000
 Bahçelievler , Zafer Mah.,3,1,140,27,3,20000
 Üsküdar , Mimar Sinan Mah.,1,1,70,31,3,32500
 Kağıthane , Çeliktepe Mah.,2,1,100,1,3,46000
 Şişli , Merkez Mah.,1,1,100,4,3,60000
 Beşiktaş , Cihannüma Mah.,2,1,100,33,0,29000
 Beşiktaş , Dikilitaş Mah.,2,1,105,0,3,60000
 Eyüpsultan , Çırçır Mah.,3,1,135,0,2,36500
 Kağıthane , Gürsel Mah.,2,1,70,6,3,21000
 Üsküdar , Zeynep Kamil Mah.,2,1,75,31,3,24000
 Eyüpsultan , Düğmeciler Mah.,2,1,95,25,1,25000
 Şişli , Gülbahar Mah.,3,1,140,5,4,25000
 Küçükçekmece , Atakent Mah.,2,1,75,16,1,21000
 Başakşehir , Bahçeşehir 2. Kısım Mah.,3,1,170,16,1,40000
 Kağıthane , Yahya Kemal Mah.,1,1,65,3,0,18000
 Beylikdüzü , Adnan Kahveci Mah.,4,1,190,5,2,40000
 Kağıthane , Gültepe Mah.,2,1,85,26,2,17000
 Kağıthane , Emniyet Evleri Mah.,2,1,110,24,2,24000
 Bakırköy , Kartaltepe Mah.,2,1,70,3,0,36000
 Beylikdüzü , Büyükşehir Mah.,3,1,110,25,3,27500
 Silivri , Selimpaşa Mah.,3,1,105,25,2,19000
 Küçükçekmece , Gültepe Mah.,2,1,80,9,0,20500
 Büyükçekmece , Pınartepe Mah.,2,1,95,14,1,16500
 Şişli , Meşrutiyet Mah.,1,1,80,21,2,50000
 Beşiktaş , Gayrettepe Mah.,2,1,90,16,3,45000
 Şişli , Cumhuriyet Mah.,1,1,70,3,5,40000
 Şişli , Cumhuriyet Mah.,1,1,70,3,1,40000
 Beşiktaş , Ortaköy Mah.,2,1,120,26,2,50000
 Beşiktaş , Nisbetiye Mah.,1,1,65,5,2,68750
 Sarıyer , Ayazağa Mah.,1,1,70,4,6,45000
 Beşiktaş , Dikilitaş Mah.,1,1,100,11,6,60000
 Sarıyer , Ayazağa Mah.,1,1,65,3,7,45000
 Sarıyer , Maslak Mah.,1,1,90,5,5,45000
 Şişli , Esentepe Mah.,2,1,90,21,5,49000
 Şişli , Meşrutiyet Mah.,2,1,90,26,1,53000
 Beşiktaş , Levent Mah.,3,1,155,26,2,40000
 Beşiktaş , Konaklar Mah.,1,1,60,21,4,35000
 Şişli , Teşvikiye Mah.,1,1,35,26,2,30000
 Beşiktaş , Ulus Mah.,3,1,150,35,3,75000
 Şişli , İnönü Mah.,2,1,80,40,0,25000
 Eyüpsultan , Güzeltepe Mah.,3,1,135,30,5,25000
 Beşiktaş , Türkali Mah.,2,1,90,5,1,45000
 Sarıyer , Huzur Mah.,1,1,80,4,1,52000
 Sarıyer , Tarabya Mah.,2,1,110,26,0,60000
 Sarıyer , Cumhuriyet Mah.,3,1,100,30,2,75000
 Sarıyer , Zekeriyaköy Mah.,3,1,136,25,3,45000
 Beşiktaş , Konaklar Mah.,3,1,140,30,2,60000
 Sarıyer , Zekeriyaköy Mah.,1,1,55,30,1,28000
 Sarıyer , Zekeriyaköy Mah.,2,1,125,10,1,75000
 Bakırköy , Kartaltepe Mah.,2,1,110,26,3,32000
 Kadıköy , Feneryolu Mah.,3,1,135,24,4,64000
 Beyoğlu , Kalyoncu Kulluğu Mah.,1,1,60,35,1,20250
 Beyoğlu , Kalyoncu Kulluğu Mah.,1,1,50,15,1,15500
 Bağcılar , Demirkapı Mah.,2,1,110,26,3,18000
 Bağcılar , Bağlar Mah.,2,1,120,22,4,20000
 Şişli , Cumhuriyet Mah.,2,1,110,40,3,42500
 Esenyurt , Yeşilkent Mah.,2,1,120,5,3,18000
 Üsküdar , Valide-i Atik Mah.,2,1,90,20,1,21500
 Beylikdüzü , Yakuplu Mah.,3,1,140,1,3,22500
 Beylikdüzü , Adnan Kahveci Mah.,1,1,105,10,3,18500
 Beşiktaş , Akat Mah.,3,1,140,31,7,75000
 Kadıköy , 19 Mayıs Mah.,2,1,110,4,1,55000
 Şişli , Bozkurt Mah.,2,1,80,40,2,23000
 Sarıyer , Zekeriyaköy Mah.,2,1,114,4,1,65000
 Sarıyer , Huzur Mah.,3,1,150,4,3,78000
 Şişli , İnönü Mah.,1,1,55,1,4,23000
 Bahçelievler , Siyavuşpaşa Mah.,3,1,130,0,5,35000
 Maltepe , Altayçeşme Mah.,3,1,125,26,2,37500
 Çekmeköy , Nişantepe Mah.,2,1,75,0,2,25500
 Beykoz , Soğuksu Mah.,1,1,60,5,0,40000
 Eyüpsultan , Güzeltepe Mah.,2,1,85,25,0,13000
 Küçükçekmece , Fatih Mah.,2,1,95,0,6,24000
 Üsküdar , Murat Reis Mah.,2,1,80,0,1,34000
 Beylikdüzü , Kavaklı Mah.,2,1,120,4,2,27000
 Kadıköy , Göztepe Mah.,2,1,70,0,4,55000
 Bayrampaşa , Altıntepsi Mah.,2,1,80,23,2,18000
 Üsküdar , Murat Reis Mah.,2,1,90,40,0,18000
 Kadıköy , Kozyatağı Mah.,2,1,85,4,1,38000
 Şişli , Gülbahar Mah.,1,1,65,6,2,15500
 Beykoz , Soğuksu Mah.,2,1,90,15,3,20000
 Küçükçekmece , Yeşilova Mah.,3,1,120,31,1,26000
 Güngören , Tozkoparan Mah.,2,1,98,25,4,23500
 Sarıyer , Maslak Mah.,1,1,85,4,3,55000
 Şişli , Mecidiyeköy Mah.,3,1,115,45,5,30000
 Zeytinburnu , Seyitnizam Mah.,2,1,100,25,5,18000
 Kağıthane , Harmantepe Mah.,2,1,85,9,3,19000
 Fatih , Haseki Sultan Mah.,3,1,130,30,1,30000
 Pendik , Batı Mah.,3,1,130,31,0,25000
 Beşiktaş , Levazım Mah.,3,1,125,35,1,60000
 Üsküdar , Acıbadem Mah.,4,1,185,0,4,73500
 Fatih , Şehremini Mah.,3,1,120,38,3,26000
 Üsküdar , İcadiye Mah.,3,1,130,26,1,35000
 Bahçelievler , Bahçelievler Mah.,3,1,130,1,3,50000
 Maltepe , Zümrütevler Mah.,3,1,115,10,4,35000
 Beşiktaş , Nisbetiye Mah.,4,1,180,45,4,55000
 Kağıthane , Ortabayır Mah.,2,1,85,25,2,24000
 Kartal , Orhantepe Mah.,2,1,80,0,1,23750
 Kadıköy , Sahrayı Cedit Mah.,2,1,85,33,1,30000
 Esenler , Menderes Mah.,1,1,70,27,0,14000
 Esenyurt , Mehterçeşme Mah.,2,1,100,8,3,18000
 Gaziosmanpaşa , Karlıtepe Mah.,2,1,80,8,5,20000
 Ataşehir , İçerenköy Mah.,3,1,110,35,5,30000
 Zeytinburnu , Çırpıcı Mah.,2,1,95,28,5,18000
 Sarıyer , Huzur Mah.,2,1,95,1,2,42000
 Kağıthane , Çeliktepe Mah.,3,1,165,16,5,45000
 Beylikdüzü , Adnan Kahveci Mah.,3,1,183,22,6,23000
 Şişli , Merkez Mah.,3,1,160,45,0,45000
 Maltepe , Fındıklı Mah.,3,1,125,14,3,24500
 Esenyurt , Osmangazi Mah.,1,1,86,0,1,23000
 Kadıköy , Merdivenköy Mah.,3,1,105,0,3,50000
 Bakırköy , Kartaltepe Mah.,3,1,110,36,4,27000
 Üsküdar , Murat Reis Mah.,3,1,113,33,1,38000
 Ataşehir , Fetih Mah.,2,1,110,25,0,30000
 Silivri , Yeni Mah.,3,1,140,0,3,40000
 Beşiktaş , Gayrettepe Mah.,3,1,130,50,0,35000
 Kadıköy , Bostancı Mah.,3,1,150,31,1,41500
 Beykoz , Acarlar Mah.,2,1,137,3,2,85000
 Üsküdar , Valide-i Atik Mah.,2,1,80,40,0,17000
 Kadıköy , Merdivenköy Mah.,2,1,85,35,1,30000
 Fatih , Şehremini Mah.,2,1,80,42,1,22000
 Beyoğlu , Halıcıoğlu Mah.,2,1,100,29,4,33000
 Bahçelievler , Siyavuşpaşa Mah.,3,1,130,30,3,25000
 Kağıthane , Ortabayır Mah.,2,1,90,13,2,33000
 Kadıköy , Erenköy Mah.,3,1,125,45,1,45000
 Şişli , Feriköy Mah.,2,1,90,8,2,14500
 Pendik , Batı Mah.,1,1,42,15,1,15000
 Bahçelievler , Çobançeşme Mah.,2,1,120,0,3,38000
 Kağıthane , Çeliktepe Mah.,3,1,160,16,4,22000
 Şişli , Merkez Mah.,2,1,95,30,0,25000
 Küçükçekmece , Yeşilova Mah.,2,1,90,8,1,21000
 Avcılar , Denizköşkler Mah.,2,1,100,4,0,16000
 Maltepe , Altıntepe Mah.,2,1,75,1,2,40000
 Bahçelievler , Soğanlı Mah.,3,1,135,24,4,26500
 Şişli , Merkez Mah.,2,1,110,30,5,40000
 Gaziosmanpaşa , Merkez Mah.,2,1,110,25,2,30000
 Ümraniye , Namık Kemal Mah.,2,1,85,14,0,24000
